Country Name,Year,Ind 1,Ind 2,Ind 3,Ind 4,Ind 5,Ind 6,Ind 7,Ind 8,Ind 9,Ind 10,Ind 11,Ind 12,Ind 13,Ind 14,Ind 15,Ind 16,Ind 17,Ind 18,Ind 19,Ind 20,Ind 21,Ind 22,Ind 23,Ind 24,Ind 25,Ind 26,Ind 27,Ind 28,Ind 29,Ind 30,Ind 31,Ind 32,Ind 33,Happiness Score
Afghanistan,2015,71.5,90.89,2.673,1.281,2.643741893,-10.28844725,88.76872734,33.98,16.265,23.636,52.33,42.383,6.924,56.69549,24.3563,37.02256957,16.44546401,19907111419,1.451314655,2.948180364,91.096,0.409391083,41.5,73.1,33736494,37.72088,44.32877,18.42347717,652860,7.585382331,55.1255266,8.223,281.99,3.575
Albania,2015,100,95.59661,4.618468025,4.923567075,3.227285022,15.80204856,44.01664386,11.879,16.265,23.636,52.33,42.383,7.217,56.76693,21.58166,24.44617575,0.76512774,11386931490,2.22,8.194549702,91.096,5,5.9,9.4,2880703,13.50589,18.61557,38.61521047,28750,18.51578986,71.8010161,17.07999992,281.99,4.959
Algeria,2015,99.33670807,99.2671,-2.760441701,-4.609593098,4.4671956,36.80385887,52.72491876,23.9,16.265,23.636,52.33,42.383,4.773,33.528,35.337,26.769,0.02604974,1.66E+11,3.763466958,37.42896788,91.096,1.842884957,15.5,24.9,39871528,16.5696,23.83613,0.058958684,2381740,16.878,59.69512912,11.20610046,281.99,5.605
American Samoa,2015,83.1659,90.89,2.673,1.281,11.760709,21.565,58.786,20.65,16.265,23.636,52.33,42.383,7.73,33.528,35.337,26.769,10.04,661000000,1.248049922,20.026,91.096,3.06,13.885,31.408,55537,16.5696,23.4515,0.885478202,200,16.878,163.9939486,8.223,281.99,5.421
Andorra,2015,100,90.89,2.673,1.281,2.44,21.565,58.786,20.65,16.265,23.636,52.33,42.383,7.73,22.07571,24.91345,26.769,10.04,2811489409,0.842203518,20.026,91.096,3.06,1.5,3.5,78014,8.07904,9.93795,19.74780863,470,16.878,85.25,8.223,281.99,5.421
Angola,2015,42,90.89,10.48488344,6.761620511,3.57,-0.451391478,97.57619869,42.321,16.265,23.636,52.33,42.383,8.683,33.528,35.337,20.81883184,2.7696619,1.16E+11,0.943575613,30.82316733,91.096,12.02433653,30.6,88.9,27859305,16.5696,50.02951,49.56821033,1246700,11.00201914,62.88852078,8.223,281.99,4.033
Antigua and Barbuda,2015,96.82629395,81.47279,2.673,1.281,2.25,21.565,45.22636436,16.367,16.265,23.636,52.33,42.383,5.794,33.528,35.337,26.769,0.16920474,1359194737,4.025739082,20.026,91.096,1.516116694,4.2,8,99923,11.48074,14.33428,29.283,440,16.878,93.62954254,8.223,281.99,5.421
Argentina,2015,99.99520874,99.7343,2.193566659,1.166753246,5.057313905,14.60355782,56.54900705,17.364,16.265,23.636,52.33,42.383,7.57,30.04134,41.33272,25.00839323,0.57692067,5.95E+11,2.731159828,15.9957829,99.5597,0.765932391,6.7,11.4,43417765,16.5696,23.4515,10.04007761,2780400,12.33650694,22.48622609,8.223,281.99,6.574
Armenia,2015,100,92.80933,-2.106390225,-2.466491849,2.700192847,17.42676423,44.41225877,13.808,16.265,23.636,52.33,42.383,9.694,19.3593,35.337,25.07798135,1.0829009,10553337673,3.2,8.808285265,91.096,-5.5,7.4,14,2916950,16.5696,23.4515,15.79200384,29740,20.93122083,71.59326535,8.223,281.99,4.35
Aruba,2015,95.23818207,90.89,2.673,1.281,5.77,21.565,44.59272193,10.963,16.265,23.636,52.33,42.383,8.624,23.84105,30.67691,26.769,10.04,2691620112,-0.450585761,15.46284765,91.096,3.06,13.885,31.408,104341,16.5696,23.4515,6.726747566,180,16.878,145.2469905,8.223,281.99,5.421
